,max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column
0,44,31,57,13,0.31547995019242164,2.849741854621088,-2.383209863080915,-3.2826060399087664,GLUGLU_log_sample1
1,49,36,62,13,0.3050702596605633,3.135920680419524,-2.423678528376425,-3.3807374882108734,GLUGLU_log_sample2
2,191,153,229,38,0.10326232845663652,16.358791618373992,-2.467173542241049,-4.157096424644218,GALGAL_log_sample1
3,194,153,235,41,0.09436589997000122,15.389318347599044,-2.489935825955801,-3.9427438249514353,GALGAL_log_sample2
4,103,87,119,16,0.24857888375394127,10.486120241049852,-2.4749881382021597,-5.082659271085094,RAFRAF_log_sample1
5,108,92,124,16,0.2510920316587515,11.592543538615303,-2.4937639309967063,-5.405724024237451,RAFRAF_log_sample2
6,179,144,214,35,0.10730428042416931,16.605093917536113,-2.3788751259828804,-4.161385784443228,GLUGAL_log_sample1
7,197,160,234,37,0.10002134397564447,17.280425439457755,-2.336006806649008,-4.065109824781742,GLUGAL_log_sample2
8,134,119,149,15,0.2630990176709129,17.109289247416715,-2.34361532580666,-6.846853815245287,GLURAF_log_sample1
9,144,129,159,15,0.2611996690682534,18.51242490684667,-2.4131494107033187,-7.250523619706162,GLURAF_log_sample2
10,152,118,186,34,0.1137584722502758,11.391923711325282,-2.4434275710961475,-3.7398739870545867,RAFGAL_log_sample1
11,153,119,187,34,0.11009064275272588,12.205319126329224,-2.4665436547560327,-3.8107727740234627,RAFGAL_log_sample2
12,68,56,80,12,0.3379077262997755,6.796971646717854,-2.504342530145042,-4.802010832332388,GALGLU_log_sample1
13,64,52,76,12,0.3441865031436415,5.989335715493721,-2.4825125137675883,-4.544785939206868,GALGLU_log_sample2
14,60,48,72,12,0.33332519431048624,4.937937116326787,-2.5051260273896165,-4.15172351517732,RAFGLU_log_sample1
15,64,52,76,12,0.32735351765883913,5.148163952968108,-2.509055039661418,-4.194998996732791,RAFGLU_log_sample2
16,159,140,178,19,0.20172518930904615,16.765164086363498,-2.512180820962779,-5.895490043770801,GALRAF_log_sample1
17,134,117,151,17,0.23199207081419448,14.593433104394023,-2.4886775857188197,-5.875593118108564,GALRAF_log_sample2
