,max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column
0,58,46,70,12,0.3264575667305397,5.0645027723025855,-2.390885990602054,-4.044892845089824,GLUGLU_log_sample1
1,59,46,72,13,0.3182611326040827,4.809240680724743,-2.398973174265168,-3.9301800430257585,GLUGLU_log_sample2
2,79,63,95,16,0.2503473703918077,6.9197382827537215,-2.411448694178747,-4.144480189663859,GALGAL_log_sample1
3,81,65,97,16,0.24623506384237515,7.0258230573135805,-2.4098105534006025,-4.140506820970471,GALGAL_log_sample2
4,78,64,92,14,0.2754629556547005,8.088339818813093,-2.433329834520132,-4.662259399175854,RAFRAF_log_sample1
5,88,73,103,15,0.26741845295496824,8.987998018070062,-2.433794083518158,-4.83831241600577,RAFRAF_log_sample2
6,129,114,144,15,0.2653018458762466,15.904087629322209,-2.387600054146964,-6.6086722880772975,GLUGAL_log_sample1
7,130,113,147,17,0.2356295121435097,15.357262356146542,-2.387317778612387,-6.007390044357381,GLUGAL_log_sample2
8,146,131,161,15,0.2559446920889661,18.13400823324691,-2.382104184644252,-7.025264602408514,GLURAF_log_sample1
9,143,126,160,17,0.2305553417644261,17.29552408353142,-2.4032752339272303,-6.39244636845449,GLURAF_log_sample2
10,89,74,104,15,0.2571745152355689,8.587011905162203,-2.3921944491092675,-4.6014387708701205,RAFGAL_log_sample1
11,97,81,113,16,0.25111868443664354,9.683174347050072,-2.419974035820179,-4.852573078639176,RAFGAL_log_sample2
12,61,49,73,12,0.34051876301692335,5.131943165149797,-2.4169536967907628,-4.16517592415167,GALGLU_log_sample1
13,61,49,73,12,0.34022311062535515,5.409137708623663,-2.435988634560017,-4.2770387116196895,GALGLU_log_sample2
14,55,43,67,12,0.34805779517875246,4.807496849736153,-2.431089364718092,-4.105045701100608,RAFGLU_log_sample1
15,62,51,73,11,0.3454786956571274,5.641850304018549,-2.389842563771157,-4.339761615516951,RAFGLU_log_sample2
16,98,83,113,15,0.26236070283296686,10.6044691045354,-2.410078500620834,-5.193387791773685,GALRAF_log_sample1
17,105,90,120,15,0.2578046110320835,11.134111757782147,-2.42244696934737,-5.294020949842341,GALRAF_log_sample2
