,max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column
0,53,41,65,12,0.3386890288643509,4.743319605665651,-2.4430042584024156,-4.050157430507393,GLUGLU_log_sample1
1,53,41,65,12,0.33590969947031724,4.910713589028521,-2.5377910472672065,-4.188007459707556,GLUGLU_log_sample2
2,76,61,91,15,0.26284789549989207,6.479277441851898,-2.490968187686785,-4.194714126012811,GALGAL_log_sample1
3,73,58,88,15,0.2634649530569161,6.211437987856356,-2.4896592827220063,-4.126810361039854,GALGAL_log_sample2
4,80,65,95,15,0.26204234728316267,8.233716840960994,-2.5185052201379468,-4.67695108635476,RAFRAF_log_sample1
5,71,56,86,15,0.2692396547418255,7.204032988311538,-2.520848431630385,-4.461235941155915,RAFRAF_log_sample2
6,114,99,129,15,0.2585900572372264,12.639447639497833,-2.484656779563284,-5.7544001654623145,GLUGAL_log_sample1
7,119,103,135,16,0.23303564620541228,12.264057845962693,-2.480648004905765,-5.339754292655337,GLUGAL_log_sample2
8,106,89,123,17,0.2307984373519312,12.406434057661746,-2.4738573604874046,-5.338388766667987,GLURAF_log_sample1
9,99,82,116,17,0.2277587041049386,11.759499270654212,-2.4980406813989573,-5.177440756236066,GLURAF_log_sample2
10,86,71,101,15,0.26305291628436,7.998117861070111,-2.49532494631109,-4.600095082506089,RAFGAL_log_sample1
11,78,63,93,15,0.26825977049291616,7.1809118010039,-2.494268648075682,-4.421389247982824,RAFGAL_log_sample2
12,56,45,67,11,0.35485784620404753,4.910227347754048,-2.4459000221492877,-4.189029975126693,GALGLU_log_sample1
13,55,44,66,11,0.3617424101443385,4.865701426336021,-2.5328446813618455,-4.293679576325369,GALGLU_log_sample2
14,50,39,61,11,0.35879443029664726,4.410414079958416,-2.548176080585133,-4.131241313869438,RAFGLU_log_sample1
15,50,39,61,11,0.359993473881124,4.356200069337078,-2.4922767960329044,-4.061107924366086,RAFGLU_log_sample2
16,93,76,110,17,0.23230994411124367,9.98409796697725,-2.538923138580389,-4.859256512639679,GALRAF_log_sample1
17,89,71,107,18,0.2231635812812676,9.52645303901344,-2.5235321116481857,-4.650340211982374,GALRAF_log_sample2
