,max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column
0,62,50,74,12,0.324421046699644,5.454895700138441,-2.488277180480873,-4.258668309608825,GLUGLU_log_sample1
1,61,49,73,12,0.32423507313604616,5.357669065967217,-2.532317643518373,-4.27015700070386,GLUGLU_log_sample2
2,78,61,95,17,0.23854500747469753,6.675368818555061,-2.4866647047154493,-4.079677814678014,GALGAL_log_sample1
3,77,60,94,17,0.2372313644997313,6.43523014443131,-2.500787761579388,-4.028037089343736,GALGAL_log_sample2
4,95,78,112,17,0.22485195534533853,8.649585332763639,-2.5278255920785084,-4.473480028851482,RAFRAF_log_sample1
5,91,74,108,17,0.22966577896255447,8.81359897253994,-2.531268949964029,-4.556261020284112,RAFRAF_log_sample2
6,120,103,137,17,0.22642261957925536,13.504192756395103,-2.484482904694221,-5.543361155200608,GLUGAL_log_sample1
7,126,108,144,18,0.21809410933307932,13.668176942448143,-2.4800325485404486,-5.462174281703874,GLUGAL_log_sample2
8,134,115,153,19,0.19972920779069825,15.103066913563374,-2.484530203152461,-5.502260885281231,GLURAF_log_sample1
9,139,118,160,21,0.18362248693219213,15.17055271832238,-2.4941104086662276,-5.280879734670912,GLURAF_log_sample2
10,84,68,100,16,0.24113955687239347,7.4800826593476195,-2.474284332428782,-4.278749936514376,RAFGAL_log_sample1
11,85,69,101,16,0.2425001707791675,7.679889252978306,-2.489693741968948,-4.352813445262598,RAFGAL_log_sample2
12,61,50,72,11,0.35728781089954476,5.164474076451146,-2.519862971576769,-4.365804985605059,GALGLU_log_sample1
13,62,51,73,11,0.35249034758179243,5.18028765026951,-2.511791721259033,-4.3385238085111,GALGLU_log_sample2
14,60,48,72,12,0.3440111089262136,4.7610097358331025,-2.5259962862352014,-4.1644919233224815,RAFGLU_log_sample1
15,56,45,67,11,0.3496425957495842,4.831123846671012,-2.5395929520122085,-4.2294355711976515,RAFGLU_log_sample2
16,109,92,126,17,0.2293167000475151,12.995634020080272,-2.442310793079302,-5.423619224962086,GALRAF_log_sample1
17,109,92,126,17,0.23587052181756224,12.664792944931873,-2.5306307184278967,-5.519077417740084,GALRAF_log_sample2
