,max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column
0,54,42,66,12,0.34449056558431457,4.807502833775557,-2.4377635360813765,-4.09456562717335,GLUGLU_log_sample1
1,54,42,66,12,0.3386458871208218,4.360983119469221,-2.4688996884599397,-3.9463196536576017,GLUGLU_log_sample2
2,66,51,81,15,0.26665201902789326,5.629732846540967,-2.423650245752507,-3.9254305880072065,GALGAL_log_sample1
3,69,54,84,15,0.27337531678397076,5.789053138532387,-2.4391085664932004,-4.022326089127786,GALGAL_log_sample2
4,71,56,86,15,0.26151526909356265,7.177843406207635,-2.44860680234422,-4.326473598948706,RAFRAF_log_sample1
5,78,63,93,15,0.2551595923857569,7.7920859034085925,-2.4328366935149197,-4.421857764892009,RAFRAF_log_sample2
6,118,103,133,15,0.25566761788775483,13.281248687258993,-2.417765897440406,-5.814709889483601,GLUGAL_log_sample1
7,118,101,135,17,0.2351569065645419,13.44898265112801,-2.4214254470014542,-5.585312158365454,GLUGAL_log_sample2
8,131,113,149,18,0.2143629079555119,15.567304511928336,-2.394297178930779,-5.7326851983444636,GLURAF_log_sample1
9,122,103,141,19,0.20973308601263876,14.31280803928524,-2.4116386161859236,-5.414709244022857,GLURAF_log_sample2
10,77,62,92,15,0.26488503705900324,7.234417609272784,-2.3491239708806586,-4.266179769732727,RAFGAL_log_sample1
11,82,67,97,15,0.27074759862336495,7.860658397711889,-2.4159083611223235,-4.545014388312281,RAFGAL_log_sample2
12,54,43,65,11,0.36471682984963577,4.597265187764945,-2.4515612704216,-4.128932204054775,GALGLU_log_sample1
13,54,43,65,11,0.35735308807833666,4.307330806799057,-2.453302894463181,-3.9931568012104766,GALGLU_log_sample2
14,52,41,63,11,0.35583662208101385,4.094227220877425,-2.466694608403778,-3.9241535763000965,RAFGLU_log_sample1
15,52,41,63,11,0.3592814698406661,4.435553802325459,-2.4740898215493945,-4.068339811202102,RAFGLU_log_sample2
16,94,77,111,17,0.23208567704792682,10.79926263581257,-2.4624317295208153,-4.9697888528210745,GALRAF_log_sample1
17,93,77,109,16,0.24141023516336213,10.179784356232012,-2.4552132035343965,-4.913700733896826,GALRAF_log_sample2
