,max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column
0,48,36,60,12,0.34443573384700554,3.29760049456417,-2.405113961946029,-3.5413799146065514,GLUGLU_log_sample1
1,47,35,59,12,0.34168307900730255,3.6918066276352364,-2.395984719988053,-3.6579173486694994,GLUGLU_log_sample2
2,66,51,81,15,0.26767532152236445,4.97541484555934,-2.421156543268195,-3.7534852432404255,GALGAL_log_sample1
3,68,53,83,15,0.2683863086457329,4.971970513074373,-2.439497231985895,-3.774440021801283,GALGAL_log_sample2
4,91,74,108,17,0.2329099921775557,8.439876152603526,-2.444342717790411,-4.4108608137112055,RAFRAF_log_sample1
5,92,75,109,17,0.23493978908171398,8.751553640255542,-2.4362155668795826,-4.4931264976308265,RAFRAF_log_sample2
6,84,69,99,15,0.2720657920831774,8.513593117790727,-2.4028450909861614,-4.720029419783302,GLUGAL_log_sample1
7,91,77,105,14,0.2701102014897163,9.174306015032204,-2.4022079290300575,-4.881273201387666,GLUGAL_log_sample2
8,105,88,122,17,0.22319118609472502,10.777793069206837,-2.3769925856808194,-4.783463592683401,GLURAF_log_sample1
9,112,94,130,18,0.2223754458882965,11.806642270847611,-2.3973203725190784,-5.023878335127469,GLURAF_log_sample2
10,73,58,88,15,0.2688354659928489,6.168888573973148,-2.421298894676998,-4.080378560985554,RAFGAL_log_sample1
11,76,62,90,14,0.27655359923120265,6.700142133847235,-2.430123287448177,-4.283813185883634,RAFGAL_log_sample2
12,47,36,58,11,0.35976372662992306,3.7510439423318664,-2.438069421347374,-3.7880989806169922,GALGLU_log_sample1
13,48,37,59,11,0.3526824811929782,4.039651781001067,-2.4320770422700098,-3.8573615693599352,GALGLU_log_sample2
14,46,35,57,11,0.3524411972172927,3.8699289775925854,-2.4739762104338237,-3.8384443997181616,RAFGLU_log_sample1
15,52,41,63,11,0.3580203969389637,4.2692703669424805,-2.4564849148199737,-3.9855824252366423,RAFGLU_log_sample2
16,98,80,116,18,0.21224808535726392,9.766606323259307,-2.362337060713345,-4.43611006246398,GALRAF_log_sample1
17,106,87,125,19,0.21094088081314677,11.160513629366763,-2.4562617210144526,-4.811412356574431,GALRAF_log_sample2
