,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,134440.4,160333.3,116129.7,122074.4,771.0,650.6,343.9,383.0,474.4,279.6,663.5,311.7,578.2,374.8,456.8,427.8,1221.2175,0.0
1,244517.8,282881.8,175133.2,194649.4,1445.6,1524.6,880.5,373.0,538.7,10.1,639.1,857.7,517.4,575.6,350.9,457.9,1184.689,85.0
2,125524.6,132666.0,87203.9,84374.1,821.4,694.5,506.7,524.8,311.5,-277.1,448.6,-110.3,336.1,5.9,284.4,251.9,1082.2935,120.0
3,177650.9,171485.9,103734.3,100232.4,1013.3,1006.1,333.3,20.6,306.0,18.7,522.9,511.2,512.3,269.1,541.1,432.5,988.47516,126.0
4,144848.4,140230.6,93073.8,88476.9,835.2,764.0,260.1,175.1,514.1,65.7,360.1,-130.6,580.0,278.4,649.4,176.1,991.35315,154.0
5,186443.3,198318.7,120066.0,124317.5,861.5,783.0,841.1,785.6,477.7,-27.4,746.2,406.2,551.9,470.2,289.7,277.1,1089.2385,160.0
6,160475.2,196916.7,98684.2,100852.1,966.9,743.4,353.8,542.1,375.8,232.3,661.1,728.3,502.7,285.2,486.7,426.0,1256.5587,206.0
7,302867.0,388501.5,243425.0,280935.2,1973.5,2096.5,600.1,648.4,475.2,238.9,836.3,643.6,848.3,986.5,672.8,660.7,1313.5435,249.0
8,164032.8,208108.0,115922.4,126903.4,1263.5,1048.5,364.5,367.4,572.6,459.6,461.2,515.4,533.9,456.5,731.8,442.7,1299.1494,260.0
9,184060.4,189431.5,144717.7,151515.9,972.6,818.1,298.8,238.3,355.5,308.2,677.2,250.7,466.3,257.4,545.6,461.1,1053.9039,281.0
10,178703.0,195073.6,117206.7,118407.7,1014.0,819.2,541.1,211.8,430.1,-246.5,479.8,463.0,514.2,397.0,543.7,360.1,1117.8468,306.0
11,197715.5,218834.5,150329.1,162756.1,1329.9,1237.5,619.9,210.0,333.6,-52.0,605.5,516.7,579.6,306.3,521.6,437.0,1133.3987,469.0
12,134062.5,159639.4,101842.0,107922.9,839.9,661.8,658.8,268.6,518.7,159.7,600.6,506.3,522.9,414.3,552.0,431.7,1219.4144,674.0
13,196204.3,182177.8,116075.8,111052.8,966.1,383.2,338.4,47.3,354.5,-17.5,676.7,222.8,528.0,246.8,838.5,301.6,950.81165,676.0
14,209462.4,276767.9,190081.9,207630.7,985.1,456.9,399.9,125.8,514.4,126.4,787.9,852.7,596.1,474.7,612.0,526.8,1353.0762,677.0
15,230713.3,209286.1,129182.6,123914.2,1095.0,1272.4,333.5,324.0,442.9,3.5,521.8,405.0,437.2,529.9,444.2,431.4,928.9021,722.0
16,154329.3,153622.1,88253.5,85001.2,1002.6,857.9,453.3,511.3,334.9,6.0,317.4,-90.9,475.2,472.5,582.1,317.3,1019.3122,778.0
17,180615.9,180720.1,104815.2,102008.8,896.5,821.5,436.5,178.2,350.0,79.2,533.7,398.5,500.1,566.1,469.2,641.2,1024.6322,800.0
18,310430.3,353392.5,204458.5,229668.5,2009.9,2133.9,816.5,1011.1,334.4,-12.9,1022.2,1380.2,743.6,963.9,701.4,811.7,1165.7391,821.0
19,189114.6,193248.9,96387.1,91454.2,771.4,555.2,224.2,38.0,537.4,49.9,385.1,-211.9,362.2,277.9,312.7,-17.1,1046.3955,827.0
20,174363.0,201263.9,97916.8,102430.6,1235.0,1186.9,412.0,202.3,425.8,12.5,854.9,617.5,486.7,268.7,634.8,567.5,1181.9988,841.0
21,121165.5,152186.4,110868.9,110341.9,890.0,628.4,399.7,372.5,329.1,-259.0,499.3,168.8,486.6,102.5,383.4,512.1,1286.2205,924.0
22,133893.0,138251.6,87606.9,84530.8,1059.5,656.1,498.1,296.1,450.0,148.3,369.9,-27.9,391.9,195.7,341.4,275.2,1057.369,952.0
23,297812.4,386622.8,308470.7,331842.8,2126.9,1983.6,851.8,676.6,477.9,281.3,859.4,1173.9,669.5,784.8,701.3,747.8,1329.3832,960.0
24,166984.3,156654.8,67512.0,65055.6,609.0,320.8,525.3,540.2,454.0,368.7,611.3,410.3,488.7,151.3,278.1,8.8,960.6562,998.0
25,178176.3,192630.0,123883.1,126607.5,945.2,1037.6,570.3,505.8,383.0,180.7,519.1,296.4,538.8,272.1,686.5,540.3,1107.069,1071.0
26,192172.1,180069.3,110461.6,105704.6,610.7,702.1,441.6,244.5,405.2,-9.0,311.1,186.1,659.5,585.4,384.8,507.1,959.52844,1081.0
27,207958.6,230372.2,137534.1,149661.9,1249.7,1336.7,416.5,513.8,387.6,160.6,866.3,827.6,605.7,688.9,461.4,278.1,1134.4009,1086.0
28,270145.2,330041.7,210366.9,238476.5,1790.2,1837.4,958.1,799.6,398.7,54.6,714.8,657.1,852.3,550.5,616.0,932.4,1251.0458,1135.0
29,202053.1,186399.6,108886.9,103403.1,1113.3,600.8,468.3,462.7,390.1,133.6,545.1,516.5,599.0,281.6,397.9,254.5,944.6893,1139.0
30,369392.4,457289.9,309430.4,345309.2,2322.7,2330.7,1115.6,1135.3,540.8,314.4,917.7,1440.4,1088.7,902.5,841.3,776.5,1267.6627,1206.0
