,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,201631.9,199125.9,94266.1,92879.8,853.4,749.7,342.5,130.0,329.7,52.1,457.7,429.6,353.7,215.2,329.3,40.1,1011.30817,0.0
1,221308.0,216755.8,120687.6,114773.4,1017.3,1000.2,558.3,302.5,349.0,25.1,519.8,192.3,392.4,436.9,549.5,397.7,1002.95355,20.0
2,228795.4,213754.3,72299.6,68782.5,1155.4,832.1,420.5,109.4,392.1,45.7,540.5,505.0,666.5,822.5,368.9,206.7,956.69244,89.0
3,151581.6,151298.8,88529.5,85139.1,558.3,311.6,314.7,68.1,344.8,72.8,350.4,46.6,383.5,236.7,395.7,245.0,1022.1253,94.0
4,242792.2,243653.4,136644.5,132314.0,933.9,944.3,502.0,306.4,428.7,-91.5,443.9,273.4,624.1,326.9,455.5,373.9,1027.6313,113.0
5,176205.7,170835.8,73833.6,69274.1,713.7,372.5,463.9,169.3,375.9,249.0,317.0,132.4,419.7,293.6,418.8,161.4,992.82086,127.0
6,220250.1,239544.5,144122.5,146804.0,1183.3,1044.8,731.8,537.9,379.4,225.9,744.4,661.1,563.1,580.2,544.9,489.2,1113.7153,148.0
7,235232.1,272135.1,192482.4,204756.0,1474.9,1451.6,469.0,412.0,528.1,191.4,878.1,708.2,591.4,611.7,421.2,182.6,1184.6421,159.0
8,262680.5,247400.9,154740.7,146204.4,850.0,507.7,726.8,540.5,485.2,139.8,460.6,341.3,420.5,201.7,369.3,398.9,964.43427,159.0
9,232516.1,239511.1,140203.0,136188.5,1215.3,1090.6,553.3,411.5,251.6,-12.9,591.2,470.7,619.3,140.5,503.0,397.0,1054.8219,173.0
10,177354.4,174871.2,100061.5,96731.5,1018.0,530.9,289.3,147.8,439.5,85.0,527.6,257.7,478.5,192.0,371.0,190.4,1009.67224,181.0
11,214424.9,268437.7,183305.1,203213.6,1404.6,1660.5,560.7,792.8,424.1,77.0,772.3,516.4,944.4,766.7,450.4,231.0,1281.9436,203.0
12,249903.0,252989.1,158525.8,157916.1,780.8,659.4,298.6,-97.1,388.8,280.4,739.8,624.4,697.9,495.6,416.5,266.4,1036.6742,204.0
13,324709.7,319824.7,136590.9,131311.2,1353.9,1047.7,522.4,334.8,515.2,78.5,620.7,511.6,461.7,334.7,475.7,98.2,1008.6118,269.0
14,222706.5,246910.9,110427.1,112284.2,1171.3,1346.3,718.6,712.2,418.7,430.8,717.3,622.6,495.7,491.7,442.5,408.1,1135.2999,298.0
15,238814.4,240791.3,115162.2,112573.5,1072.2,1066.5,364.0,3.6,461.7,106.9,549.9,410.9,562.5,287.2,385.8,241.1,1032.5009,317.0
16,246210.4,285215.2,219491.0,218212.9,1275.1,965.6,670.1,558.8,481.9,190.1,582.4,419.6,675.8,447.0,416.2,-124.1,1186.2334,324.0
17,218572.0,270832.2,199027.8,217877.4,1134.5,1578.2,556.8,223.6,347.6,148.0,720.7,504.4,529.2,99.7,495.3,705.1,1268.859,396.0
18,200706.6,213075.5,118044.7,117356.9,1000.2,929.7,614.7,335.1,405.0,139.6,683.2,286.8,688.5,119.6,572.0,432.4,1087.1199,534.0
19,325979.9,382380.0,198122.8,209576.8,1389.8,1572.0,664.7,617.0,394.4,267.3,825.1,653.9,690.6,457.6,556.9,234.1,1201.1824,552.0
20,154229.6,150190.2,85223.5,80338.5,774.6,556.1,342.1,103.1,444.6,105.8,362.7,128.4,333.1,173.6,480.4,244.7,997.21545,596.0
21,207874.2,225575.5,133916.8,141454.3,1283.5,1360.5,573.3,450.0,411.0,22.0,556.8,608.9,775.4,495.6,625.8,732.7,1111.2094,617.0
22,154610.6,149634.1,87117.7,83674.2,819.8,627.2,641.8,761.4,313.6,-99.5,285.9,-311.4,410.4,112.5,327.7,270.8,991.0562,691.0
23,207871.7,219499.5,157972.2,161261.2,829.3,1028.6,467.5,348.1,299.0,129.6,502.1,110.3,566.9,179.5,464.5,158.1,1081.32,710.0
24,251071.2,290406.3,164243.4,179350.5,1603.9,1676.6,436.2,162.8,332.8,-79.5,828.0,545.5,817.2,805.8,570.8,641.0,1184.4598,712.0
25,209309.1,212895.5,97699.4,93660.1,832.7,603.7,719.2,361.8,366.4,155.4,460.3,301.2,693.1,644.2,459.3,689.2,1041.5686,792.0
26,224413.7,261988.9,138911.7,147124.4,863.7,766.9,543.8,330.5,323.8,126.2,650.4,355.1,789.4,460.3,437.5,356.6,1195.4843,817.0
27,147145.8,144885.9,80083.3,75659.6,689.9,366.1,631.6,447.8,447.6,6.0,443.3,-64.0,439.6,366.1,334.3,203.2,1008.2827,818.0
28,161557.4,161332.6,96709.0,91405.8,838.4,543.8,410.1,-249.6,511.4,412.2,440.5,154.6,419.1,273.0,370.4,140.9,1022.6087,839.0
29,256920.0,288951.3,166244.7,178172.1,1219.1,1149.1,440.8,170.2,488.9,265.5,904.7,711.1,719.2,362.7,592.5,502.0,1151.6632,871.0
30,222999.2,214578.7,99168.9,93516.4,1056.8,990.2,410.3,432.3,310.7,126.4,699.8,322.0,550.4,425.8,552.7,275.3,985.36444,892.0
31,279568.6,274146.9,158968.2,153171.7,1256.4,1196.5,301.1,195.8,353.6,112.7,802.1,320.6,793.5,447.7,812.5,792.5,1004.14215,916.0
32,197378.1,242731.9,151780.3,166583.6,958.0,1108.9,735.6,81.0,364.2,279.5,861.2,812.5,579.1,640.3,562.6,577.2,1259.3048,930.0
33,223330.8,274539.6,173733.2,190830.8,1447.4,1380.6,629.3,585.6,351.3,-62.5,754.0,835.3,658.4,600.3,606.3,790.9,1258.8142,945.0
34,307435.7,297049.2,228068.7,221495.9,1706.2,1693.6,303.7,276.9,487.1,-41.8,674.2,588.6,488.4,632.7,465.1,355.9,989.4144,970.0
35,313844.2,345488.8,227150.0,227559.6,1476.1,1540.7,1050.3,797.4,569.2,216.8,1012.3,1151.5,554.8,448.1,550.5,285.7,1127.2631,1046.0
36,462633.8,600901.2,457479.7,508389.4,2609.2,3689.0,1659.4,1525.1,779.4,903.6,1542.8,1620.2,1042.5,613.3,953.8,1324.0,1330.0477,1053.0
37,255138.3,231549.3,104605.1,97836.4,724.0,861.3,411.1,421.3,520.1,289.2,525.0,339.4,478.7,210.1,519.7,377.5,929.3325,1094.0
38,286405.0,284250.2,131279.8,127325.7,853.5,552.6,657.7,516.6,481.9,41.5,474.2,746.5,712.4,500.9,606.9,130.4,1016.31104,1119.0
39,326770.9,322339.9,211212.8,208003.7,1153.7,1060.2,480.8,100.0,312.0,159.4,518.6,362.3,776.5,828.5,663.4,792.6,1010.1207,1130.0
40,317036.7,314059.4,153007.3,149119.5,1527.9,1408.2,413.2,409.7,529.7,188.7,917.3,723.5,633.5,618.6,627.0,645.2,1014.3957,1137.0
41,146694.6,142680.4,92229.9,87558.0,836.2,550.8,232.7,-169.7,476.8,-40.0,318.6,45.4,541.8,387.5,342.5,268.1,996.02094,1163.0
42,308916.7,290797.5,135573.4,128832.8,1234.7,690.8,571.4,539.5,547.7,392.0,826.4,286.6,862.4,859.5,822.8,639.2,963.95294,1170.0
43,276431.9,371106.5,195361.2,222546.6,1420.4,1341.8,730.2,488.0,509.8,176.2,711.4,669.6,616.9,859.6,692.1,572.6,1374.747,1178.0
44,160495.4,160794.6,88035.0,83787.7,741.3,674.0,371.5,380.3,415.1,-37.7,516.0,730.5,375.9,142.8,438.4,204.5,1025.9557,1203.0
45,164639.5,186886.3,111431.6,107670.6,1241.5,1117.5,476.4,-84.3,288.6,30.5,649.9,683.9,428.3,331.1,445.8,174.2,1162.4153,1221.0
46,208461.8,241280.4,126308.0,135632.5,1182.7,1096.6,844.8,464.4,431.9,262.7,457.1,320.2,594.2,607.0,471.3,661.7,1185.2416,1229.0
47,175422.4,163431.4,101193.8,97216.6,573.8,463.0,360.1,94.4,345.2,133.2,611.5,100.9,456.8,-92.6,334.1,-28.0,954.034,1258.0
48,181059.8,204543.1,118159.6,117879.8,977.4,941.1,614.4,562.5,469.3,104.5,446.0,632.5,556.3,509.7,480.7,617.2,1156.8328,1294.0
49,135669.2,136403.2,68400.6,65190.6,800.7,722.6,534.2,358.0,342.7,-37.9,381.3,176.8,413.6,6.5,455.2,159.8,1029.578,1353.0
50,131422.9,132804.6,76368.2,73520.8,940.6,765.9,378.8,193.1,422.4,386.9,544.0,459.6,544.8,363.2,645.0,354.9,1034.8192,1356.0
