,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,234749.9,235463.9,140559.0,139641.3,925.0,703.2,421.8,361.5,349.0,-3.4,463.2,278.8,404.0,-307.6,364.6,116.8,1027.1365,0.0
1,175649.8,180786.2,107438.5,103386.7,856.7,998.0,566.3,413.2,364.2,75.2,638.9,411.8,367.8,-2.7,341.0,53.3,1053.9508,29.0
2,215415.5,209844.6,129732.3,124547.4,737.7,508.3,494.4,-78.7,314.9,-124.0,603.1,426.5,1573.8,1532.9,1168.8,1272.8,997.5524,78.0
3,370724.2,503720.6,401787.3,458181.6,1779.7,1313.5,650.7,737.4,555.3,174.7,958.8,954.2,390.7,110.9,270.2,197.6,1391.3716,219.0
4,226896.5,270906.5,181859.2,195665.0,1266.5,1171.0,513.1,254.3,466.8,273.7,668.8,503.4,385.4,308.9,396.8,218.2,1222.6207,249.0
5,197137.7,193257.9,132000.4,126048.2,995.2,746.3,521.4,409.0,489.8,512.8,404.8,255.3,425.5,-323.9,233.1,183.5,1003.8536,345.0
6,160608.2,159055.2,95162.7,92124.0,657.5,552.8,385.7,151.0,469.6,205.6,521.7,276.7,375.5,-328.8,252.6,-65.9,1014.0952,346.0
7,288257.4,293449.1,231853.0,228704.8,1228.5,975.0,483.4,270.8,397.1,98.5,752.1,527.7,421.5,129.7,405.1,164.8,1042.4476,446.0
8,265357.7,331802.3,186704.5,202219.8,1260.6,1508.0,396.4,286.8,416.8,178.5,665.1,504.4,341.7,50.7,476.1,59.9,1280.4303,502.0
9,197967.3,208026.7,115600.3,113788.9,1069.4,733.2,338.9,169.2,351.6,248.2,532.6,231.6,399.0,-7.7,231.7,70.1,1076.069,631.0
10,299777.9,294202.3,199282.3,191714.5,887.6,568.2,537.9,400.4,354.0,-51.4,391.1,219.4,350.5,15.8,255.5,-55.7,1004.95984,650.0
11,209164.3,215628.1,115846.3,110028.9,917.1,409.6,469.7,270.5,495.0,25.2,326.5,-21.7,1112.2,949.4,1084.9,1091.3,1055.6659,757.0
12,279224.7,282048.6,143746.3,139238.2,953.7,795.2,498.9,86.4,579.8,184.5,545.1,167.6,393.1,11.8,380.3,349.8,1034.3564,779.0
13,145439.6,145902.6,94604.6,90652.6,577.1,491.6,449.3,176.4,408.9,-12.8,587.4,519.1,477.1,-216.1,299.9,95.2,1027.3093,864.0
14,198323.0,248320.3,189139.1,194342.4,1178.2,1123.7,427.6,406.9,472.4,111.1,643.3,331.7,323.0,111.2,244.9,135.8,1282.166,1003.0
15,212800.3,225551.7,119592.8,114385.7,1077.5,789.6,515.3,742.1,388.4,93.4,573.5,184.3,489.8,-52.1,303.1,139.3,1085.3582,1185.0
16,136683.2,134509.5,75282.1,72787.6,478.7,354.9,223.9,-173.6,373.4,39.3,433.6,93.2,264.3,58.8,227.7,-277.7,1007.7387,1252.0
17,236309.7,300172.7,184555.7,204690.2,1111.9,1375.5,474.8,642.0,344.7,14.1,658.5,544.5,615.1,280.7,320.9,129.6,1300.7678,1263.0
18,198565.2,244050.1,155147.5,166402.5,934.3,799.5,354.2,275.9,368.5,99.0,563.1,484.9,428.9,355.8,403.2,6.7,1258.5953,1326.0
19,182011.7,178783.8,120694.1,116295.2,669.8,447.2,460.0,399.5,304.4,67.5,457.6,373.0,880.9,803.9,594.1,796.7,1005.8586,1489.0
20,166078.3,171605.8,104612.6,100658.9,724.4,718.1,429.1,289.8,339.4,-205.7,448.4,536.2,325.1,65.2,247.9,28.6,1058.1165,1550.0
