,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,167239.5,217617.1,152605.6,163644.9,828.7,698.3,249.5,230.9,410.9,362.9,542.1,614.6,384.5,-5.2,338.7,-36.7,1332.5159,0.0
1,280352.4,327058.4,139378.5,148829.5,1191.0,900.1,670.4,350.9,479.3,60.8,938.2,584.3,392.4,167.8,318.5,124.5,1194.5942,38.0
2,220069.6,224944.6,128305.6,121414.1,899.7,1005.1,373.5,134.0,336.0,-105.6,557.7,428.3,254.7,-30.7,421.9,129.8,1046.7075,68.0
3,231925.3,220028.2,150107.8,143398.3,897.2,761.1,388.5,433.3,430.5,-71.9,425.6,-138.2,278.7,-193.6,411.3,140.2,971.49084,175.0
4,235903.9,292609.3,205587.7,223084.9,1238.2,1293.4,612.4,743.4,411.1,-187.7,611.7,922.1,301.4,59.8,434.7,70.7,1270.1852,210.0
5,319965.3,416746.5,219390.9,241315.6,1559.4,1833.1,449.3,652.4,504.9,66.1,825.4,375.4,556.4,265.0,371.6,299.5,1333.7555,281.0
6,272311.2,284732.6,178311.9,175827.9,1126.6,1065.7,333.6,163.3,381.0,242.4,709.5,676.9,381.4,129.0,225.9,204.2,1070.7374,356.0
7,300580.2,331577.7,250902.0,262930.4,1375.1,1018.2,703.0,666.5,442.5,187.9,543.1,487.4,378.2,165.0,422.7,115.5,1129.614,360.0
8,192212.4,201927.3,109365.3,104440.7,889.0,1092.1,355.3,173.2,435.3,349.6,474.4,452.3,380.4,-205.4,257.1,23.5,1075.7786,400.0
9,189297.4,199917.6,118987.6,115835.5,585.1,557.3,508.9,280.2,506.6,106.7,539.4,356.0,439.3,270.4,197.4,-1.9,1081.4545,436.0
10,218665.8,227451.4,146337.6,140991.8,698.9,670.3,467.2,256.2,387.7,18.5,497.5,28.6,375.9,61.8,250.7,-83.1,1065.1471,437.0
11,299548.0,379227.8,285334.8,318425.5,1550.3,1678.5,427.8,736.1,413.1,307.8,663.2,956.9,428.6,307.4,205.2,-138.6,1296.3987,539.0
12,277641.8,307386.0,251829.7,260903.0,1136.3,1066.5,449.3,523.6,432.5,208.8,743.0,595.3,368.7,157.0,380.3,-117.3,1133.7101,540.0
13,321172.9,398856.0,215727.0,251076.9,1381.8,1765.5,767.7,814.5,322.9,111.6,894.5,738.4,375.6,94.4,376.7,134.2,1271.6959,545.0
14,306373.3,344578.5,165267.7,177554.6,1309.2,1364.6,497.5,543.7,343.4,3.9,822.7,463.9,324.5,-0.39999998,334.6,364.8,1151.7125,563.0
15,284720.0,324334.6,228745.6,246389.2,1328.4,785.3,489.3,381.0,636.6,274.2,726.9,709.6,375.5,-2.3,261.3,-32.8,1166.4741,574.0
16,195174.6,241894.6,173204.7,187925.9,1447.3,1236.5,432.0,147.0,359.5,172.6,579.2,615.2,340.0,-54.8,296.9,-143.6,1269.1628,671.0
17,230233.3,273240.2,175348.3,182386.3,1208.5,941.5,507.2,589.6,372.8,58.2,466.8,501.6,203.6,-505.4,327.1,60.7,1215.2861,710.0
18,370505.7,489983.2,283510.2,343824.4,1680.9,2224.3,699.8,736.1,579.2,188.0,728.3,890.6,513.6,392.9,359.2,365.8,1354.215,798.0
19,181073.6,198899.4,133023.9,128877.8,651.8,639.6,298.8,41.3,501.8,193.5,679.7,324.3,295.8,-215.9,229.3,-198.3,1124.8154,899.0
20,217783.5,223259.9,130192.9,127967.6,825.3,756.5,389.8,550.2,313.7,32.0,411.6,58.7,442.9,-29.3,207.1,23.8,1049.7815,993.0
21,247014.6,338594.9,203366.8,231376.0,1131.0,1151.8,429.8,-4.6,405.3,216.7,540.9,684.7,489.7,296.9,415.0,-120.3,1403.6824,1001.0
22,246083.9,252728.5,181762.5,178576.2,1162.7,1340.4,413.2,262.1,373.5,105.8,394.9,398.9,397.6,190.2,249.3,-76.3,1051.666,1054.0
23,248127.4,281341.4,192758.6,199108.5,1349.4,1715.0,390.6,328.0,602.4,407.0,891.2,1131.9,507.7,394.9,406.8,486.5,1161.1042,1141.0
24,273369.3,324476.1,197999.0,216004.5,1356.5,1107.5,577.2,434.0,423.3,251.2,830.9,739.0,335.2,-131.8,310.8,-161.5,1215.4419,1173.0
25,225766.4,225779.5,124790.4,120106.1,821.2,664.0,257.1,165.1,484.3,25.8,397.0,106.0,363.5,223.7,229.3,88.0,1024.0862,1233.0
26,259427.7,301075.9,167764.0,179328.1,1162.7,1500.9,360.9,182.8,471.9,34.8,534.7,306.6,440.6,53.7,325.0,227.5,1188.4071,1294.0
27,207025.3,215676.0,126221.5,120862.5,915.4,516.9,463.8,684.3,344.7,88.6,527.9,462.7,270.6,-235.3,286.6,82.5,1066.7953,1300.0
28,256845.6,278667.9,148157.5,146289.1,1137.2,736.5,504.4,610.1,433.8,250.9,476.8,124.4,400.9,151.6,224.0,-151.7,1111.0244,1330.0
29,178168.8,193482.8,122703.9,119207.7,700.0,399.9,414.8,197.9,283.4,89.8,561.5,154.5,289.1,-72.3,296.3,-127.2,1112.0183,1353.0
30,270460.5,349585.3,204684.2,223751.2,1584.8,1117.0,698.1,357.7,292.1,-14.2,640.4,884.4,394.5,9.3,488.6,360.4,1323.598,1406.0
31,232359.3,238358.5,124892.8,120269.8,810.8,152.3,496.3,194.9,368.7,-82.5,394.5,-21.4,373.2,137.9,185.6,-18.0,1050.4713,1416.0
32,175050.9,184369.7,95076.3,92214.9,765.5,711.3,453.2,210.2,366.0,-16.1,426.3,202.6,502.2,102.5,231.5,273.7,1078.5262,1424.0
33,240823.3,264215.6,147176.2,146885.4,1188.0,871.0,576.4,651.5,426.7,154.4,373.4,324.1,435.9,304.1,176.0,-130.8,1123.4995,1431.0
34,175889.5,177313.4,96878.4,92367.2,697.8,230.1,304.9,208.0,440.4,275.3,555.2,341.0,427.3,-280.3,376.9,210.0,1032.2933,1451.0
35,291305.5,392700.2,265599.6,307807.2,1474.0,1476.0,516.6,745.0,397.6,175.0,590.2,806.0,225.2,-162.1,410.9,407.2,1380.43,1458.0
36,292668.3,333927.6,209230.5,211654.4,1313.5,1031.8,391.6,268.4,381.6,-13.6,458.4,250.2,325.7,387.1,304.6,258.2,1168.3766,1489.0
37,213733.1,263202.3,172520.8,187131.2,1351.0,1226.7,521.1,40.2,506.1,26.3,754.5,466.3,362.5,-28.0,335.7,-322.4,1261.0343,1501.0
38,193191.3,206541.2,130156.0,128028.6,957.7,528.5,680.4,516.9,259.2,-318.2,660.0,317.0,358.2,-190.8,154.7,-140.1,1094.8008,1542.0
39,303694.2,398230.2,229383.6,252884.4,1685.6,1897.4,561.7,658.8,415.4,275.1,859.0,974.8,367.2,16.6,336.9,226.8,1342.7827,1551.0
40,257245.0,295436.5,195492.4,205777.6,1307.7,1187.8,452.2,386.9,320.5,-45.2,496.6,538.2,378.5,-30.2,360.0,4.9,1176.0496,1582.0
41,221373.5,231886.9,171161.7,166869.9,931.3,637.9,380.1,113.8,467.2,9.0,568.7,368.7,598.5,183.3,324.1,177.7,1072.6562,1586.0
42,181737.3,189848.1,148253.2,143687.1,730.9,436.5,431.0,95.1,374.1,72.9,607.4,692.4,372.9,84.7,258.9,-44.1,1069.7046,1628.0
43,283023.0,350253.4,244011.0,277758.4,1041.0,966.6,612.3,539.6,409.4,108.7,695.4,688.2,258.6,-385.5,270.8,91.4,1267.2731,1629.0
44,221296.2,243188.8,165708.1,165390.8,863.2,587.3,387.2,-62.0,437.1,240.6,543.8,417.9,583.8,204.0,344.9,244.2,1125.3005,1654.0
45,197310.7,213415.8,145436.5,146471.8,1172.2,1529.0,310.3,233.2,422.0,101.8,409.6,109.1,327.7,85.5,310.8,418.4,1107.618,1689.0
46,226361.0,269570.7,172054.7,182215.3,956.7,1134.9,441.6,241.4,306.8,-12.5,464.8,405.6,360.9,-201.0,351.7,397.9,1219.4742,1691.0
47,181098.3,179717.8,99526.8,95418.5,652.1,303.2,454.0,104.6,366.7,155.0,401.7,339.2,281.8,10.8,222.3,315.3,1016.2025,1729.0
48,173857.2,186284.5,93077.8,89487.6,812.1,864.0,244.5,91.8,427.4,-84.8,451.3,194.7,428.1,-30.2,336.1,-5.9,1097.203,1801.0
49,248535.3,304580.0,156838.1,169808.3,1015.9,1081.7,511.5,438.1,677.8,379.4,880.4,695.1,451.1,42.5,377.4,637.7,1254.9468,1871.0
50,216737.6,277405.2,191168.5,215950.1,1135.8,1321.5,582.4,356.1,393.2,52.1,744.2,834.3,235.8,-81.6,300.5,433.7,1310.6393,1884.0
51,212409.8,229560.9,133539.0,130910.2,1061.3,922.8,442.1,389.2,535.3,97.3,606.7,527.4,425.4,88.3,327.3,114.0,1106.6907,2028.0
52,175711.9,188153.1,110321.4,109466.6,691.8,645.1,532.9,324.4,493.1,185.1,465.6,367.1,319.2,25.7,192.9,-13.8,1096.5526,2070.0
53,210751.2,246285.3,163423.9,178486.0,941.0,957.7,470.4,542.4,357.7,-56.0,531.6,451.8,288.6,-53.0,226.3,99.3,1196.6904,2088.0
54,248644.8,325357.8,244879.5,275124.7,951.4,1130.0,872.8,747.9,244.5,-94.6,651.8,585.3,360.8,348.7,460.5,-53.3,1339.9517,2090.0
55,221314.2,242124.3,151650.6,149361.3,1270.3,1150.4,547.6,369.9,475.3,304.0,752.0,429.7,328.0,71.5,206.6,-114.6,1120.2961,2131.0
56,217546.7,251526.5,141906.1,150266.2,1459.3,1631.1,356.5,238.5,338.0,63.8,802.6,231.6,246.1,-90.6,324.8,-275.8,1183.9564,2146.0
