,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,133338.1,150500.1,95696.5,94053.9,821.4,471.2,594.8,460.2,400.4,130.3,391.9,183.2,1509.9,1485.4,1512.3,1658.2,1155.813,0.0
1,144768.5,147087.0,94332.3,91382.6,588.3,519.8,505.2,198.5,434.7,180.2,414.5,350.4,2294.0,2478.4,2092.7,2323.1,1040.4032,9.0
2,154412.6,175765.4,131359.6,131081.4,690.1,590.7,490.8,379.1,381.6,215.9,641.2,332.2,2664.4,2716.5,2099.5,1944.1,1165.6316,18.0
3,156362.3,166748.1,105653.3,102466.5,1068.2,1072.1,508.2,458.5,492.6,-93.9,585.4,193.8,1805.8,1953.3,1585.1,1601.7,1092.0309,29.0
4,170232.3,181313.3,120402.0,122073.9,1057.4,1007.2,590.6,258.3,349.0,-123.4,501.3,224.2,2379.4,2455.0,2168.3,2435.1,1090.6527,35.0
5,150490.5,161878.4,93880.5,90735.2,832.6,588.0,784.2,715.8,409.0,-123.5,721.1,276.7,2376.0,2462.0,2036.2,2213.7,1101.5035,55.0
6,239780.5,339940.5,174710.9,206614.8,2026.4,1717.1,957.5,999.0,372.3,153.9,849.6,1045.5,4498.6,5277.9,3799.5,4805.7,1451.7656,57.0
7,103502.8,115900.8,73510.5,71679.8,772.0,754.4,556.5,246.0,413.8,-52.0,451.2,228.5,1375.0,1144.9,1197.3,1172.7,1146.7314,70.0
8,219001.9,257480.7,110378.3,122407.7,1129.2,1164.4,859.3,865.2,346.7,-16.7,853.5,488.6,3202.3,3427.6,2576.4,3305.7,1203.9271,77.0
9,226524.8,236174.1,145777.9,146403.6,1509.6,1203.8,764.9,304.5,378.0,46.1,622.7,475.4,3225.9,3485.4,2304.4,2697.4,1067.6416,86.0
10,227830.2,255122.8,206574.6,224068.6,1342.5,1532.8,1025.0,1041.8,410.5,374.3,566.4,770.7,3422.3,3941.9,3178.0,3554.3,1146.6963,101.0
11,216018.0,233583.8,152529.7,161601.4,3932.5,4120.0,2236.0,1867.4,862.4,1193.2,2495.7,3048.0,684.7,581.4,1916.8,2411.2,1107.2744,113.0
12,278079.0,347652.0,261457.4,305656.3,2001.6,2376.0,1120.9,1551.4,489.4,233.2,731.7,746.6,4743.4,6488.4,4075.6,5463.0,1280.2283,133.0
13,182904.9,197976.8,147210.1,154518.1,1220.7,831.7,765.7,519.8,356.0,38.7,410.2,536.4,3267.6,3824.3,2838.3,2904.2,1108.3844,135.0
14,224064.2,268719.8,130472.3,148394.3,1169.6,1569.8,896.5,1062.2,299.4,166.3,870.1,569.1,3416.1,3948.4,3018.9,3376.7,1228.0812,162.0
15,152992.6,161266.1,111485.4,109978.2,895.1,799.9,610.7,224.0,364.9,-29.7,503.0,538.7,2685.6,2565.8,2191.5,2369.4,1079.3792,169.0
16,159172.2,180930.7,121359.4,119760.0,1165.8,1008.8,556.0,507.7,628.4,444.2,465.6,431.3,2175.6,2219.4,2197.3,2082.0,1164.0049,173.0
17,318928.4,391274.1,144826.8,171307.5,2098.9,2199.4,1268.0,1262.8,389.4,25.3,688.6,675.1,4221.1,5237.3,3714.6,4283.3,1256.2837,208.0
18,116933.5,121274.7,73892.1,70572.8,1053.4,433.3,842.5,424.8,483.6,348.5,383.0,133.3,1669.0,1923.1,1575.0,1663.0,1062.0646,219.0
19,127455.4,127494.9,88004.7,87368.2,562.5,558.7,394.3,320.8,425.2,238.2,567.6,305.3,1769.4,1422.5,1560.6,1139.4,1024.3696,220.0
20,137380.9,148169.8,99436.2,97645.0,785.1,660.2,620.8,542.9,381.1,-78.2,623.1,416.2,2394.8,2194.3,1824.7,2013.8,1104.4509,225.0
21,170097.7,191991.6,123026.3,130160.1,1214.5,977.1,894.4,480.0,286.2,219.2,513.8,380.6,3228.8,3522.4,2866.2,3154.1,1155.8137,241.0
22,157139.1,166650.4,124656.3,124551.9,1108.9,838.3,600.5,489.4,454.5,380.2,765.9,417.0,2747.3,2810.6,2441.5,2655.8,1085.9961,281.0
23,143824.1,152636.5,94921.2,92166.7,788.8,638.2,498.7,358.5,286.6,129.1,497.4,254.2,2125.0,2004.2,1528.1,1990.9,1086.7397,301.0
24,487002.6,785572.6,397857.4,557679.7,4675.4,6486.6,2472.0,3507.0,504.5,319.0,2002.6,2988.1,8241.0,12336.4,7472.8,11225.8,1651.7993,321.0
25,174089.7,180518.1,106117.4,104112.4,1194.8,634.5,742.4,472.3,361.6,53.6,506.6,321.9,2460.4,2492.9,2249.7,2114.5,1061.8218,339.0
26,142069.8,159435.4,101628.9,100680.8,1331.5,885.8,640.9,536.1,380.0,-22.3,513.2,91.9,2564.6,2597.4,1900.1,2046.1,1149.2104,342.0
27,162529.0,199446.7,149346.9,154117.5,1263.7,1104.2,919.1,1093.7,444.9,224.7,572.5,354.5,2997.3,3209.5,2838.1,3123.7,1256.6001,375.0
28,142824.6,146733.1,86272.6,84483.6,692.7,342.3,615.2,439.8,347.3,244.8,447.3,402.9,1659.8,1687.7,1429.8,1476.3,1052.0226,387.0
29,235003.5,319169.8,141866.5,163334.4,1758.1,1846.0,1234.4,1154.2,446.1,-105.7,759.8,762.3,3951.0,4417.1,3130.9,3760.4,1390.762,407.0
30,164674.2,219916.3,148368.4,162192.5,1114.8,1397.7,1067.7,1183.5,400.9,115.3,498.5,624.2,3153.0,3641.4,2886.7,2974.0,1367.5305,411.0
31,248170.1,337736.9,166907.5,192458.2,2177.7,2541.4,1145.2,1432.1,642.7,373.7,818.3,828.0,4032.6,4984.9,3954.5,4669.9,1393.5789,443.0
32,188235.5,253277.9,159472.3,194380.6,1475.4,1528.2,1245.7,1159.7,375.2,202.8,848.5,287.2,3286.5,3911.0,2522.8,3453.7,1377.8538,456.0
33,164343.1,174329.3,108595.3,108463.0,861.1,515.4,624.9,453.5,582.8,226.6,673.5,441.0,1673.4,1939.3,1632.9,1443.4,1086.2646,461.0
34,201582.9,231614.6,185103.5,202304.8,1237.8,1091.5,1167.4,779.4,440.5,150.5,477.1,518.7,3398.8,3929.1,2945.3,3111.1,1176.5922,462.0
35,357245.0,424778.8,201222.0,243982.4,2713.1,3222.6,1114.4,1302.3,468.7,305.5,1004.6,1323.9,3925.4,5352.9,3731.7,4503.8,1217.5923,471.0
36,170987.5,204182.1,150923.6,168258.7,1292.4,1130.1,728.1,871.6,432.8,51.2,492.5,435.0,3101.8,3391.8,2654.2,3057.1,1222.8153,484.0
37,195170.9,210358.7,105108.5,104964.3,1172.9,1221.7,779.4,571.7,432.5,235.0,487.6,206.9,3557.3,3581.4,3301.3,3535.9,1103.7009,490.0
38,185080.6,216658.6,101919.0,104838.1,1079.9,1068.6,805.5,887.9,511.5,334.9,720.9,393.7,3154.8,3500.8,2867.9,2916.6,1198.7129,498.0
39,146613.0,170133.6,113453.8,116266.3,1170.8,887.6,863.7,1123.0,409.4,290.4,481.7,215.2,2945.9,2821.9,2315.4,2479.8,1188.313,511.0
40,159069.3,179502.6,113071.3,112298.5,1034.8,1085.6,547.4,390.7,480.3,253.2,638.5,421.9,2153.7,2440.6,2064.1,2088.0,1155.5729,531.0
41,140861.4,146198.0,52612.5,50426.7,1078.8,876.8,406.7,254.2,440.1,174.3,552.5,284.9,1449.0,1446.0,1401.8,1456.0,1062.8318,536.0
42,156808.9,215285.7,146139.7,163163.6,1458.6,1248.4,799.6,995.0,452.3,49.6,669.9,613.6,3030.6,3287.3,2731.4,3184.7,1405.8711,538.0
43,191552.3,203047.6,112615.7,111994.2,1126.6,1144.8,953.0,777.1,432.6,177.4,452.8,494.7,2395.1,2531.9,1919.8,2187.8,1085.4501,568.0
