,FSC-H,FSC-A,SSC-H,SSC-A,GFP-488nm-H,GFP-488nm-A,Red-488nm-H,Red-488nm-A,CFP-405nm-H,CFP-405nm-A,RFP-405nm-H,RFP-405nm-A,RFP-561nm-H,RFP-561nm-A,FarRed-561nm-H,FarRed-561nm-A,FSC-Width,Time
0,244306.9,268144.8,161297.7,168044.8,876.9,741.9,394.8,370.5,388.1,172.2,765.5,696.8,476.3,110.0,296.5,1.6,1123.9275,0.0
1,147578.6,165466.0,95530.3,94971.3,676.5,330.1,462.8,-0.7,294.5,125.2,606.0,228.8,489.0,406.9,386.5,300.9,1148.1316,1.0
2,159849.6,167086.2,103492.0,100531.3,546.3,421.8,352.6,151.6,350.3,240.0,471.8,439.1,311.8,84.0,299.4,-305.4,1070.3673,17.0
3,188495.4,220228.7,134599.2,142162.1,1036.4,842.1,407.1,346.1,401.7,85.5,473.7,301.7,478.7,22.0,395.6,224.9,1196.4341,137.0
4,244211.9,319976.8,199561.2,233202.3,1663.2,1727.0,722.7,653.3,499.6,35.7,684.4,680.5,491.7,297.5,322.0,-40.4,1341.7063,156.0
5,321101.1,382060.7,259460.2,262928.3,1114.4,1200.5,584.8,332.4,642.1,837.1,1272.2,1323.3,336.3,86.0,328.7,146.9,1218.419,162.0
6,220871.6,216229.5,125915.8,122769.2,892.2,830.4,481.9,130.0,416.0,-14.6,591.4,572.2,348.0,-128.8,214.6,34.0,1002.51056,166.0
7,348862.1,587872.3,439002.2,562159.6,1082.7,2428.8,457.6,607.7,448.3,418.3,693.5,1304.5,416.3,16.4,420.3,446.9,1725.5857,207.0
8,220045.3,261076.8,166650.9,173108.0,1021.5,1213.1,400.5,288.2,340.3,-43.0,550.3,584.2,513.6,30.3,366.9,170.3,1214.9692,214.0
9,216249.6,247572.9,137232.3,140290.8,837.9,728.4,563.8,149.6,424.5,338.3,562.3,297.0,337.1,-34.9,224.7,-23.9,1172.331,234.0
10,208649.2,233305.2,154671.5,154424.3,856.5,381.6,460.1,245.4,223.7,-159.5,590.7,534.3,461.1,117.3,421.3,359.9,1145.0089,242.0
11,297205.3,316040.2,186727.4,187602.8,1384.2,1068.4,585.9,430.7,641.8,256.1,602.6,326.7,325.2,185.2,278.8,198.2,1088.9131,260.0
12,237020.0,289061.0,221150.9,241915.7,1398.2,1263.3,749.7,691.0,425.5,275.6,713.6,612.3,476.3,303.2,375.3,227.3,1248.8544,275.0
13,323419.4,375164.5,296097.8,322398.7,1653.5,931.0,524.7,551.5,371.3,182.9,688.9,757.8,442.0,238.3,210.5,-170.1,1187.8446,281.0
14,194011.2,396312.0,110718.9,184713.1,933.7,1422.4,450.6,420.0,659.9,387.7,682.7,849.5,407.8,196.4,349.7,363.2,2091.7874,309.0
15,223571.2,237376.2,118835.6,116581.4,585.8,547.3,345.7,413.3,351.6,292.1,601.2,416.4,434.1,152.4,422.3,75.6,1087.2443,310.0
16,187873.4,217982.6,128723.5,131596.4,1123.0,922.0,259.9,132.1,532.6,118.1,471.9,197.9,547.8,348.1,382.2,29.5,1188.1179,319.0
17,255280.8,279868.3,122327.2,124533.9,1061.8,1103.6,593.7,537.7,506.6,100.6,789.8,668.9,377.3,315.5,326.1,-215.1,1122.6274,338.0
18,179517.7,184033.0,99034.2,95665.6,747.7,301.3,373.3,229.0,500.5,63.6,432.2,497.2,346.5,-52.0,420.8,236.7,1049.7865,376.0
19,232985.6,236582.5,139333.3,136044.7,908.1,759.4,461.6,432.4,401.9,311.3,865.2,455.1,563.8,121.7,214.0,-97.0,1039.8159,389.0
20,246628.1,274933.5,150851.9,153143.9,1266.1,1299.4,495.9,260.9,409.0,165.1,655.6,926.6,388.9,63.2,338.2,163.2,1141.5409,417.0
21,233958.6,247226.0,155686.7,157088.8,899.8,557.2,457.4,330.9,465.5,287.3,837.7,662.6,309.5,-90.9,250.0,-123.2,1082.0999,424.0
22,239741.4,325485.4,174374.2,206824.5,1220.0,1838.6,479.5,481.3,476.7,51.3,645.4,814.6,459.7,65.0,354.5,-133.6,1390.2632,445.0
23,350578.0,491753.5,381980.4,433648.0,1775.3,1876.2,730.6,182.0,677.4,279.2,810.6,1329.7,328.8,22.4,303.6,192.2,1436.3663,448.0
24,8608.8,6544.2,13683.4,12924.9,525.4,186.1,486.5,80.2,379.4,134.5,416.8,-134.7,420.5,81.2,222.5,104.7,778.40894,466.0
25,299350.4,360276.4,213502.9,242221.3,1231.4,1318.1,490.1,340.7,388.8,-2.5,751.0,771.2,280.0,-171.2,286.1,-44.8,1232.437,474.0
26,220919.2,301279.1,207114.7,227563.0,1422.9,903.7,397.8,162.6,372.5,-35.9,944.9,937.9,356.8,-123.2,339.7,15.5,1396.5253,478.0
27,261820.5,301922.5,147304.9,164525.8,716.9,478.1,266.2,66.8,432.6,-21.1,615.0,504.9,368.9,-28.0,324.6,144.1,1180.8623,480.0
28,295582.0,304618.8,142805.0,142014.9,1239.8,688.8,407.8,379.5,480.7,46.2,600.2,91.1,428.0,230.6,471.7,294.7,1055.3253,484.0
29,227211.4,272038.0,154627.0,159198.7,831.1,336.2,344.6,14.4,607.8,-98.5,606.6,902.3,300.2,-79.8,343.2,519.6,1226.0414,497.0
30,238255.7,249052.2,139403.1,140107.7,1082.5,929.2,541.2,467.1,346.4,20.0,577.0,460.9,354.8,-19.5,200.2,-141.6,1070.436,513.0
31,265024.9,359275.7,206233.2,247348.6,1579.4,2124.3,268.5,20.4,414.5,33.9,681.7,519.3,554.7,80.8,329.8,120.4,1388.1671,527.0
32,261905.9,342007.5,266708.1,303125.1,1401.4,1641.2,819.7,771.0,472.8,147.3,780.2,975.1,339.6,-155.0,351.6,121.3,1337.191,557.0
33,354426.5,487717.9,281985.2,322907.8,1799.5,1703.4,608.2,689.7,362.4,257.6,774.0,681.9,331.7,154.7,266.1,-18.0,1409.1108,576.0
34,223275.9,310741.5,230088.9,269106.2,1103.0,544.8,460.0,277.4,478.2,139.5,653.8,762.8,360.9,5.6,264.2,36.6,1425.1643,591.0
35,213935.4,260603.6,175055.0,193034.3,997.9,914.7,575.7,502.7,365.7,-34.4,636.2,537.4,411.0,-130.1,354.4,331.0,1247.4172,607.0
36,262679.9,361273.2,214083.9,261900.6,1447.1,1661.9,499.8,-97.4,528.4,234.1,622.5,733.6,592.1,243.7,246.1,36.0,1408.384,621.0
37,178029.2,194745.0,127964.9,126962.6,1124.0,1032.4,349.5,-191.0,497.4,-21.2,546.0,280.7,441.5,377.3,435.6,111.4,1120.1798,667.0
38,215824.5,238472.9,141810.6,141088.8,794.7,801.5,427.9,140.1,283.4,76.9,509.5,260.4,574.9,103.5,331.6,8.4,1131.4558,724.0
39,222265.5,235391.1,105763.8,104138.9,1082.8,1188.4,415.2,488.1,422.1,303.6,428.9,233.8,302.4,146.8,288.1,161.6,1084.4756,739.0
40,187216.0,193676.5,64474.6,61890.8,812.0,605.3,443.4,292.3,372.6,91.7,365.4,1.4,422.1,395.0,289.6,414.5,1059.3364,741.0
41,204795.5,221090.5,129415.6,131036.1,762.9,457.1,532.0,151.4,315.2,-246.0,300.2,2.1,663.4,176.2,475.8,392.4,1105.4957,768.0
42,339245.5,425719.4,229457.6,265702.1,1240.8,1038.2,489.5,171.9,377.7,226.5,971.5,1037.1,341.0,33.6,356.1,-323.9,1285.0364,817.0
43,226856.8,239115.9,140625.2,138377.3,776.5,844.0,329.3,16.9,404.6,321.2,410.2,271.1,315.5,-348.3,255.6,-42.6,1079.3356,824.0
44,219110.8,239615.3,166171.6,166177.6,1069.0,552.5,403.9,388.0,395.5,25.0,485.6,2.3,415.4,206.7,311.0,71.2,1119.8597,827.0
45,231096.7,320397.4,206564.5,235032.8,1049.1,1372.5,360.2,398.0,364.6,-175.3,710.2,182.0,315.6,250.2,332.2,158.9,1419.698,830.0
46,255047.8,278314.0,157297.3,159363.8,847.7,562.6,606.6,377.7,423.6,370.7,665.3,607.3,355.1,-55.5,335.9,-3.5,1117.4464,926.0
47,174960.6,201382.3,134440.8,136177.2,829.4,1240.2,518.1,246.2,338.6,-88.1,519.4,135.6,391.0,50.4,303.3,-30.7,1178.6418,946.0
